dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Cases change,Death Change,Measures
16/08/2020,16,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
15/08/2020,15,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
14/08/2020,14,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
13/08/2020,13,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
12/08/2020,12,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
11/08/2020,11,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
10/08/2020,10,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
09/08/2020,9,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
08/08/2020,8,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
07/08/2020,7,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
06/08/2020,6,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
05/08/2020,5,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
04/08/2020,4,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
03/08/2020,3,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
02/08/2020,2,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
01/08/2020,1,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
31/07/2020,31,7,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
30/07/2020,30,7,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
29/07/2020,29,7,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
28/07/2020,28,7,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
27/07/2020,27,7,2020,0,0,Laos,LA,LAO,7169456,Asia,0.01394806,0,0,0,Social Distancing and Wearing Masks Enforced
