countriesAndTerritories,As of Population,continentExp,,,,,,,,,,,,,,,,,,,
Afghanistan,3.54873E-06,Asia,,,,Row Labels,Average of As of Population,,,,,,,,,,,,,,
Afghanistan,5.25738E-06,Asia,,,,Afghanistan,3.75479E-06,,countriesAndTerritories,As of Population,Ranking,,Row Labels,Average of As of Population,,,,,,,
Afghanistan,1.15662E-06,Asia,,,,Eswatini,2.11712E-05,,Guinea,3.8466E-06,64,,Africa,6.27599E-07,,,,,,,
Afghanistan,1.84008E-07,Asia,,,,Ethiopia,3.76205E-06,,Central_African_Republic,3.85991E-06,65,,Burundi,2.45438E-07,,,,,,,
Afghanistan,1.31435E-07,Asia,,,,Falkland_Islands_(Malvinas),2.01661E-05,,Congo,3.98934E-06,66,,Africa,2.45438E-07,,,,,,,
Afghanistan,4.46877E-07,Asia,,,,Faroe_Islands,3.78473E-05,,Sri_Lanka,4.10034E-06,67,,Cambodia,6.39049E-08,,,,,,,
Afghanistan,3.68017E-07,Asia,,,,Fiji,1.86569E-07,,Dominica,4.51799E-06,68,,Asia,6.39049E-08,,,,,,,
Afghanistan,3.94304E-07,Asia,,,,Finland,1.50095E-05,,Lesotho,4.84037E-06,69,,Cameroon,3.51672E-06,,,,,,,
Afghanistan,3.15443E-07,Asia,,,,France,9.98995E-05,,Guinea_Bissau,4.92739E-06,70,,Africa,3.51672E-06,,,,,,,
Afghanistan,0,Asia,,,,French_Polynesia,0.000206381,,Saint_Lucia,5.47061E-06,71,,Canada,3.3241E-05,,,,,,,
Afghanistan,9.20042E-07,Asia,,,,Gabon,1.57583E-05,,Antigua_and_Barbuda,5.6731E-06,72,,America,3.3241E-05,,,,,,,
Afghanistan,1.57721E-07,Asia,,,,Gambia,6.01753E-06,,Western_Sahara,5.76805E-06,73,,Cape_Verde,7.65792E-05,,,,,,,
Afghanistan,4.2059E-07,Asia,,,,Georgia,0.000127576,,Pakistan,5.78744E-06,74,,Africa,7.65792E-05,,,,,,,
Afghanistan,6.57173E-07,Asia,,,,Germany,4.25438E-05,,Gambia,6.01753E-06,75,,Cases_on_an_international_conveyance_Japan,#DIV/0!,,,,,,,
Afghanistan,1.86637E-06,Asia,,,,Ghana,6.36886E-06,,Tajikistan,6.01899E-06,76,,Other,#DIV/0!,,,,,,,
Afghanistan,7.88607E-07,Asia,,,,Gibraltar,0.000118449,,Algeria,6.10847E-06,77,,Cayman_Islands,1.69076E-05,,,,,,,
Afghanistan,0,Asia,,,,Greece,3.20902E-05,,Kenya,6.25371E-06,78,,America,1.69076E-05,,,,,,,
Afghanistan,3.28586E-06,Asia,,,,Greenland,1.26541E-06,,Ghana,6.36886E-06,79,,Central_African_Republic,3.85991E-06,,,,,,,
Afghanistan,1.23548E-06,Asia,,,,Grenada,1.46535E-06,,Indonesia,6.41558E-06,80,,Africa,3.85991E-06,,,,,,,
Afghanistan,0,Asia,,,,Guam,0.000157886,,Malaysia,6.85178E-06,81,,Chad,4.09141E-07,,,,,,,
Afghanistan,4.46877E-07,Asia,,,,Guatemala,2.66427E-05,,Seychelles,6.97232E-06,82,,Africa,4.09141E-07,,,,,,,
